time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,velocity_x_mean
0.05,41.64626655,0.0022451230754106065,-0.2634242,0.001943475845910197,0.13086773000000002,0.0018314650582790164,1.16594499,0.0020804224002676356,2.48559337,0.0017702459548055033,2.35890853,0.0018190188411738222,-0.7713149999999303
0.1,41.6077008,0.002709145920056155,-0.26509436999999997,0.0025843789268361443,0.13038734999999999,0.002797092261382682,1.19091712,0.002846573844487645,2.49236755,0.002543315121166761,2.3647611,0.0025010645390079345,-0.6769484333333651
0.2,41.55887927,0.004492246224160477,-0.26719919000000003,0.003330478218748096,0.12907607000000001,0.0036755470375650894,1.2141009200000001,0.004141007303601968,2.49880303,0.004019641899360101,2.37455749,0.003484026187422617,-0.4065285400000249
0.35,41.516279510000004,0.006402584687192765,-0.27067972,0.004221160106899622,0.12896233000000001,0.004777241355720695,1.22933189,0.00582475100936608,2.50767066,0.005731228165696474,2.38413801,0.004792448673989989,-0.23525920000000156
0.45,41.496002870000005,0.007007428108807836,-0.27335512,0.004571123068422759,0.128849,0.005686493535323218,1.23697342,0.006925473156982171,2.5114183,0.005965300208351452,2.3888699399999997,0.005080683430167232,-0.18937625000000935
0.55,41.47840426,0.007421570982675984,-0.27548437,0.005594151012315081,0.12905844,0.006110008836839976,1.24408008,0.007838768691548152,2.51477191,0.006602894868796955,2.3929998699999997,0.005536606196475387,-0.1691521666667768
0.6,41.47011749999999,0.007721197438796887,-0.27641753999999996,0.006043684003297758,0.12891063,0.006117086141433448,1.24742081,0.008107960137408046,2.51651148,0.007103394982142205,2.3946606900000003,0.005504420548031934,-0.159059766666644
0.7,41.45554661,0.008161447977460734,-0.27774803,0.006465884086441159,0.12877132,0.006702567156129379,1.25375147,0.008479611639971954,2.5195255,0.007571747332463316,2.39701629,0.006211735669373108,-0.1389803999999515
0.8,41.44232142,0.00830348922299148,-0.2796206,0.006894550814178757,0.1288329,0.007188750644464086,1.25936431,0.008603430576857626,2.52266743,0.008202863328925388,2.39942821,0.006799543484817144,-0.12499455000002513
0.9,41.4305477,0.008085164886531205,-0.28166729,0.007359924990415694,0.12869571999999999,0.007508598548546351,1.26470456,0.009149504511969277,2.5250296700000003,0.00862657893034749,2.40165315,0.007411927695896076,-0.11364800000001196
