time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,velocity_x_mean
0.05,41.64639361,0.002151412455442369,-0.26336884,0.0017432675155314265,0.13084690999999998,0.0018794498286692474,1.16521688,0.0019070160639813381,2.48521928,0.002154335075557707,2.35888871,0.001977791066040361,-0.772815399999871
0.1,41.60775284,0.003278114824473014,-0.26470897,0.0026350919653320595,0.13101757,0.002649716414233523,1.19037635,0.002795267394285502,2.49215396,0.0030532021968663085,2.36500274,0.0028057341883644645,-0.6791235333332679
0.2,41.55857886,0.004633056078513303,-0.26763001,0.004017012391747689,0.13026664999999998,0.003310209387545439,1.21344419,0.004237878997550417,2.49898874,0.003815836227294813,2.37467053,0.003860164057996357,-0.40713590666670996
0.35,41.516544350000004,0.006880653798474633,-0.27067468,0.005102330214101921,0.13081952,0.004656286634413541,1.22882841,0.005696858402530738,2.5071656200000003,0.005892330995557882,2.38366444,0.0050171320539596,-0.23359832666670854
0.45,41.4962933,0.007238806075868957,-0.27303713,0.005948712967762707,0.13067631000000002,0.005379785957018493,1.23650017,0.006807106611869191,2.51157372,0.006311721148799542,2.3879512,0.006039434985948231,-0.1906222500000183
0.55,41.4784199,0.008268990026026348,-0.27546122,0.0064109944698560834,0.13062724,0.0060066785660932145,1.24384983,0.007083305648509164,2.51528679,0.006647309175800882,2.39151083,0.006663787537470412,-0.15915133333328413
0.6,41.4709519,0.008180617237955549,-0.27602359,0.006713504683340319,0.13067203,0.006198054014345751,1.24749608,0.007141227864147506,2.5166406699999997,0.006439637402827776,2.39272198,0.0071843618345190435,-0.1464716333331637
0.7,41.45688241,0.008967953714202767,-0.2781691,0.0069518991933096574,0.13088012000000002,0.006898806812775673,1.25375978,0.00733751211322461,2.5198123100000003,0.0071649153401991995,2.395548,0.007366508233590457,-0.13494455000000016
0.8,41.44396299,0.009591955230364735,-0.28016142,0.0076180908398391,0.1308766,0.007199993310883537,1.25991857,0.007283176226382726,2.5216690600000002,0.007622972616474155,2.39833205,0.00809430380629399,-0.12490669999999682
0.9,41.43190107,0.009572653734484713,-0.28201329999999997,0.007865601831501322,0.13113906,0.0074681754885431535,1.26552048,0.00692969564023291,2.52356449,0.008310413793797666,2.4004190199999997,0.008985061341622915,-0.11040374999998903
1.0,41.42188224,0.009977085775320256,-0.28314301000000003,0.008218273953676455,0.13131528,0.007984833746623168,1.2707284300000001,0.007053347623080837,2.52570343,0.008020557304819834,2.40223267,0.009743533218338667,-0.09918335000000411
1.1,41.4120644,0.010547030814883054,-0.28454421,0.008606645625041771,0.13126896,0.008313244215847573,1.27561979,0.008203502749404975,2.52723264,0.008295000237480317,2.40455091,0.009663163624519773,-0.09656024999995338
1.2,41.40257019,0.010992713636993955,-0.28598173,0.008725200248178152,0.13143824,0.00869796081537843,1.28050385,0.008269177422204616,2.52870794,0.00920238729217325,2.40634975,0.010347498645063756,-0.0910732500000222
1.3,41.39384975,0.011398096459341377,-0.28755878,0.00939892510894923,0.13142947,0.008898767465960241,1.28464028,0.008392039988783071,2.53019907,0.009744247268693182,2.40752264,0.010506183099662655,-0.08393364999994901
1.4,41.38578346,0.011696844953536548,-0.28880584,0.009716013804898057,0.13126163999999998,0.009470383068548525,1.2888234399999998,0.008688938422819899,2.53136985,0.009757169596395658,2.40845841,0.010976778410105015,-0.07988545000006297
1.5,41.37787266,0.011999858511977138,-0.29035201,0.010041898459786713,0.13212905,0.009812321478399218,1.2928055900000002,0.009248160543387065,2.53260181,0.00994791974568382,2.40945917,0.011238415432589107,-0.07693014999998127
1.6,41.370397430000004,0.012318569729759497,-0.291889,0.010610031259771727,0.13189916999999998,0.010034990022346105,1.2965355,0.009442388596861575,2.5340715599999997,0.01040451776419523,2.41026922,0.01205844046450282,-0.07130564999994249
1.7,41.36361153,0.012759393753572596,-0.29337115,0.01093543971059882,0.13203366,0.010466776953887197,1.2997427799999999,0.00975812693731994,2.53519544,0.010441523132167856,2.4116234700000003,0.01203972268502991,-0.06916475000008404
1.8,41.356564479999996,0.013308417183455495,-0.29469141,0.010882241696698047,0.13229886000000002,0.010625430984979659,1.30308806,0.010225966708711584,2.53630785,0.010567423623948195,2.4122699499999998,0.012209296604773481,-0.06560184999992202
