time_s,com_x_mean,com_x_std,com_y_mean,com_y_std,com_z_mean,com_z_std,std_x_mean,std_x_std,std_y_mean,std_y_std,std_z_mean,std_z_std,v_x_mean,v_x_std,v_y_mean,v_y_std,v_z_mean,v_z_std,velocity_x_calc,velocity_y_calc,velocity_z_calc
0.05,41.64617981000001,0.0021847546042318374,-0.2621441,0.0015402755394323842,0.13071391,0.0017725806393874743,1.16512086,0.002190632794607038,2.48545853,0.0020170750623542846,2.35862742,0.0020110674746201015,0.13392248,0.0,-0.00481361,0.0,-0.01426709,0.0,-0.7797046000001728,-0.0026048000000000737,-0.005666799999999861
0.1,41.60719458,0.0031881417347426133,-0.26227434,0.002387775416321197,0.13043057,0.002472502434372873,1.189942,0.0026841790272828445,2.49231855,0.0025042078381125963,2.36456658,0.002477132645832757,0.0818556409,0.00296213826751401,-0.0329703604,0.005377941906179938,-0.0052494867,0.004282843354793531,-0.6872966666667537,-0.0016666333333330563,-0.008446333333333389
0.2,41.5569465,0.004805725319708382,-0.26225337,0.00344799701087017,0.12903003,0.0034786746183138495,1.21312799,0.004012218176628576,2.49953337,0.003420769928264864,2.3745597800000002,0.003969766778331383,0.044868569100000005,0.008016450018656788,-0.0101351344,0.00813404853985367,-0.0050807309,0.007119480300115843,-0.41492242666664936,0.002469313333333334,-0.007879826666666645
0.35,41.51440877,0.006801517076544232,-0.26137456,0.004596563697442519,0.12922630999999998,0.004326940283394331,1.22797161,0.005585028706680437,2.50815513,0.004930261686367253,2.38388578,0.0053105244915500885,-0.0004174949,0.00475270596074085,-0.0036881925999999996,0.005315758306117749,-0.0006543402,0.0048932308961891595,-0.24066382666669028,0.007195573333333316,0.0009732333333333232
0.45,41.493203789999995,0.007598350364953349,-0.26056588,0.005010510055449206,0.12930128,0.004966835047135606,1.23569056,0.006208651172372474,2.51227042,0.005453354479065462,2.38822798,0.005754881895917524,-0.012264918599999999,0.004648621922780731,0.00023839469999999995,0.0029651177250692947,0.0008591353999999999,0.004050942079172815,-0.19408960000004072,0.0072456999999996885,0.002226200000000067
0.55,41.475590849999996,0.007838272679194472,-0.25992542,0.0060062799713754165,0.12967155,0.005413418812534182,1.2425252500000001,0.00735763409955466,2.51629813,0.005803091455205154,2.39197747,0.006085106254651925,-0.0180832729,0.004488250393363979,0.0028545725,0.0027715327295502806,0.0015986207,0.003202570369755656,-0.16155926666658615,0.009324200000000005,0.0006861000000002448
0.6,41.46787714,0.008111107266663427,-0.25938622,0.006616806136351631,0.12963044,0.005668244012768228,1.24568093,0.00760189654068329,2.51774018,0.006220613825926958,2.39356484,0.006037333687560235,-0.0201550143,0.0038032979016890634,0.0041542894,0.0021926273424133494,0.0016869656,0.003137767989084256,-0.15269556666652306,0.010827166666666277,0.0006106333333338321
0.7,41.452923309999996,0.008083858826648551,-0.25829487,0.006970192833375877,0.12997807,0.006140028763554186,1.2520712600000001,0.007674461623100632,2.5208837600000003,0.0067985587898161375,2.39659082,0.0071939271307980375,-0.0235345913,0.003455558796297057,0.006732156299999999,0.0021562618318174717,0.0017139193999999999,0.00278275199382754,-0.14101639999998383,0.009140900000000007,0.0018108500000000305
0.8,41.43967386,0.008590881732970106,-0.25755804,0.007567117244520739,0.12999261,0.006770248183229717,1.2577213600000001,0.008172234760468048,2.52358701,0.007177613754021492,2.39856784,0.007051104457824489,-0.025080041400000003,0.0031058865356612866,0.008345834600000001,0.0023124648131649704,0.0016806387,0.0028069730742623167,-0.12589580000002343,0.006803099999999951,0.0021567000000000114
0.9,41.427744149999995,0.009227541095775758,-0.25693425000000003,0.008285496774210612,0.13040941,0.00733271688193442,1.26245167,0.008901297721816963,2.52612048,0.007450149704251469,2.4003153800000003,0.007484793476743028,-0.0265377182,0.0030483726163525425,0.0097568288,0.00197079305635122,0.0014949408,0.002338143124795755,-0.11589115000001016,0.010868049999999796,0.00374859999999988
1.0,41.41649563,0.009497338447637425,-0.25538443,0.00837989836279701,0.13074233,0.007525853547423889,1.26752456,0.009279753116621941,2.52828619,0.007966236945041567,2.40231434,0.0075913689469879735,-0.0273405392,0.0025788564708004304,0.0108797375,0.0019882479453835655,0.0012864566,0.0024068065489597614,-0.10876884999993308,0.012930649999999932,0.0032778500000000266
1.1,41.405990380000006,0.00974203019803405,-0.25434812,0.008782129873599437,0.13106498,0.007474180319884008,1.27182325,0.009549010896343371,2.53022374,0.008326425350871667,2.40424171,0.008173533687166949,-0.0280240159,0.002419526526366282,0.0118445178,0.0019990575950548863,0.0013899178000000001,0.0019759338074836225,-0.10106699999997204,0.012953549999999536,0.002106750000000268
1.2,41.39628223,0.009865699728270168,-0.25279372,0.008937073762477267,0.13116368,0.008008784496331937,1.27563447,0.009721666895204378,2.53241669,0.008815501014420801,2.40568838,0.00871278637635509,-0.028659273,0.0022793794835377296,0.012861964100000001,0.002108156870841195,0.0013122114000000001,0.00190903927554193,-0.09049200000006863,0.014706350000000201,0.000486949999999875
